PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
1000000,milik orang lain,251,20,seng,beton,keramik,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
2916000,milik orang lain,252,90,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
1500000,milik sendiri,769,32,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
3166000,milik orang lain,253,108,seng,beton,semen,SMP,sendiri,jamban sendiri,tidak ada,mata air,gas LPG,sawah,RTM
500000,milik sendiri,254,25,seng,beton,tanah,SD,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,instalasi pengelolaan limbah,RTM
2000000,milik sendiri,362,45,seng,kayu kualitas tinggi,semen,SD,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,sawah,RTM
2916000,milik sendiri,633,165,seng,beton,semen,SD,tidak ada,jamban sendiri,listrik non PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTM
1333000,milik orang lain,64,170,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
666000,milik sendiri,363,123,seng,kayu kualitas tinggi,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
2083000,milik sendiri,364,44,seng,kayu kualitas rendah,tanah,SMA,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,instalasi pengelolaan limbah,RTHM
1333000,milik sendiri,634,168,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
666000,milik sendiri,635,7,seng,beton,semen,SD,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
1533000,milik sendiri,191,30,seng,beton,semen,SMP,tidak ada,jamban umum,tidak ada,mata air,kayu bakar,sawah,RTSM
2585000,milik sendiri,365,166,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,instalasi pengelolaan limbah,RTHM
